tcin,name,category,set_code,enabled,priority,est_msrp,max_price,sold_by_target,notes,url
1010767187,"Pokemon TCG: Mega Evolution Perfect Order Pokemon Center Elite Trainer Box",elite_trainer_box,me03,false,5,59.99,69.99,yes,,https://www.target.com/p/-/A-1010767187
1009871732,"Pokemon TCG: Mega Evolution Ascended Heroes Pokemon Center Elite Trainer Box",elite_trainer_box,me02,false,5,59.99,69.99,yes,,https://www.target.com/p/-/A-1009871732
1010148053,"Pokemon TCG: Mega Evolution Ascended Heroes Elite Trainer Box",elite_trainer_box,me02,false,5,49.99,59.99,yes,,https://www.target.com/p/-/A-1010148053
1008746912,"Pokemon TCG: Scarlet & Violet Prismatic Evolutions Elite Trainer Box",elite_trainer_box,sv8.5,false,5,49.99,59.99,yes,high_demand_resale_target,https://www.target.com/p/-/A-1008746912
1011206804,"Pokemon TCG: Scarlet & Violet Prismatic Evolutions Elite Trainer Box (variant)",elite_trainer_box,sv8.5,false,5,49.99,59.99,unknown,duplicate_listing,https://www.target.com/p/-/A-1011206804
1010939710,"Pokemon TCG: Scarlet & Violet Prismatic Evolutions Elite Trainer Box (variant)",elite_trainer_box,sv8.5,false,5,49.99,59.99,unknown,duplicate_listing,https://www.target.com/p/-/A-1010939710
1007843895,"Pokemon TCG: Mega Evolution Pokemon Center Elite Trainer Box (Mega Lucario)",elite_trainer_box,me01,false,5,59.99,69.99,yes,,https://www.target.com/p/-/A-1007843895
1007843915,"Pokemon TCG: Celebrations Pokemon Center Elite Trainer Box",elite_trainer_box,celebrations,false,5,59.99,69.99,unlikely,retired_set,https://www.target.com/p/-/A-1007843915
1007843901,"Pokemon TCG: Mega Evolution Pokemon Center Elite Trainer Box (Mega Gardevoir)",elite_trainer_box,me01,false,5,59.99,69.99,yes,,https://www.target.com/p/-/A-1007843901
95230445,"Pokemon TCG: Mega Evolution Perfect Order Elite Trainer Box",elite_trainer_box,me03,false,5,49.99,59.99,yes,,https://www.target.com/p/-/A-95230445
94860231,"Pokemon TCG: Mega Evolution Phantasmal Flames Elite Trainer Box",elite_trainer_box,me04,false,5,49.99,59.99,yes,upcoming_release,https://www.target.com/p/-/A-94860231
94681784,"Pokemon TCG: Mega Evolution Elite Trainer Box - Gardevoir",elite_trainer_box,me01,false,5,49.99,59.99,yes,,https://www.target.com/p/-/A-94681784
94681776,"Pokemon TCG: Mega Evolution Elite Trainer Box - Lucario",elite_trainer_box,me01,false,5,49.99,59.99,yes,,https://www.target.com/p/-/A-94681776
94300069,"Pokemon TCG: Scarlet & Violet Destined Rivals Elite Trainer Box",elite_trainer_box,sv10,false,5,49.99,59.99,yes,,https://www.target.com/p/-/A-94300069
1004021936,"Pokemon TCG: SV10 Destined Rivals Elite Trainer Box (2-Pack)",elite_trainer_box,sv10,false,5,99.99,119.99,unlikely,2pack_likely_3p,https://www.target.com/p/-/A-1004021936
89432659,"Pokemon TCG: Scarlet & Violet Paldean Fates Elite Trainer Box",elite_trainer_box,sv4.5,false,5,49.99,59.99,unlikely,older_set_demand_high,https://www.target.com/p/-/A-89432659
88164371,"Pokemon TCG: Scarlet & Violet Paldea Evolved Elite Trainer Box",elite_trainer_box,sv02,false,5,49.99,59.99,unlikely,older_set,https://www.target.com/p/-/A-88164371
